node,molecule_ID,colour,mods
GlcNAc1,GlcNAc,cyan,zero
MurNAc1,MurNAc_alditol,cyan,zero
Ala1,A,cyan,zero
Gln1,Q,cyan,zero
Lys1,K,cyan,negH
Ala2,A,cyan,zero
Ala3,A,cyan,zero
AlaLat1,A,cyan,zero
AlaLat2,A,cyan,zero
GlcNAc2,GlcNAc,cyan,zero
MurNAc2,MurNAc_alditol,cyan,zero
Ala5,A,cyan,zero
Gln2,Q,cyan,zero
Lys2,K,cyan,zero
Ala4,A,cyan,zero
AlaLat3,A,cyan,zero
AlaLat4,A,cyan,Hydrogen
GlcNAc3,GlcNAc,cyan,zero
MurNAc3,MurNAc_alditol,cyan,zero
Ala6,A,cyan,zero
Gln3,Q,cyan,zero
Lys3,K,cyan,zero
Ala7,A,cyan,zero
Ala8,A,cyan,zero
AlaLat5,A,cyan,zero
AlaLat6,A,cyan,zero
GlcNAc4,GlcNAc,cyan,zero
MurNAc4,MurNAc_alditol,cyan,zero
Ala9,A,cyan,zero
Gln4,Q,cyan,zero
Lys4,K,cyan,zero
AlaLat7,A,cyan,zero
AlaLat8,A,cyan,zero
