ID,xicStart,xicEnd,feature,corrMax,ionCount,chargeOrder,maxIsotopeCount,rt,mwMonoisotopic,theo_mwMonoisotopic,inferredStructure,maxIntensity
611,6.767185,8.17605333333333,611,0.999955577269666,14,1,2,7.3718325732868,478.180193015652,478.1799,GM (Anhydro) |0,3446032
2171,23.9401766666667,24.6083283333333,2171,0.999990766493406,69,1,2,24.2748279108502,456.196092673855,456.1956,GM (Deacetyl) |0,3131
2273,24.6556616666667,24.74786,2273,0.99850155924714,14,1,2,24.6990330944565,456.195879050808,456.1956,GM (Deacetyl) |0,2734
3640,34.0479966666667,34.3671733333333,3640,0.997874145097476,23,1,2,34.1895679789678,436.169298240261,436.1693,GM (Deacetyl-Anhydro) |0,3851
517,4.82117,6.03018333333333,517,0.999788365816127,7,1,2,4.92703258583857,436.169267722683,436.1693,GM (Deacetyl-Anhydro) |0,1567609
516,4.82117,4.87317,516,0.970954042166615,4,1;2,3,4.821621602758,956.35556425396,956.3598000000001,GM (x2) (Anhydro) |0,2270452
513,4.87317,5.37287666666667,513,0.99962947401396,3,2,3,4.9159434456436,914.348056929741,914.3492000000001,GM (x2) (Deacetyl-Anhydro) |0,336771
613,7.06335166666667,7.35202666666667,613,0.999989373187657,8,1;2,2,7.19260959164729,976.386400291043,976.3860000000001,GM (x2)|0,8509221
671,8.26051666666667,8.36572666666667,671,0.999987815320847,6,1;2,2,8.3095080354967,850.342027732449,850.3444,GM-AEJ (Anhydro) |1,42762480
416,4.22187833333333,4.82117,416,0.999495904443048,59,2;1,3,4.61296265847515,828.360080855522,828.3601,GM-AEJ (Deacetyl) |1,258371
776,10.1857166666667,10.3965283333333,776,0.99586681011367,6,3;2,3,10.3363377685621,1702.70492948834,1702.7042,GM-AEJ-GM-AEJ (Anhydro) |2,11321098
810,11.288015,11.7680166666667,810,0.978254033411395,9,3;2,5,11.5751621065009,2626.10881552156,"2626.1011,2626.1011","GM-AEJ-GM-AEJ-GM-AEJA (Anhydro) |3,GM-AEJ-GM-AEJA-GM-AEJ (Anhydro) |3",2981976
858,12.57635,12.8116833333333,858,0.981627872123288,4,3;2,5,12.7251373834838,2606.07964071688,"2606.0749,2606.0749","GM-AEJ-GM-AEJ-GM-AEJA (Double Anhydro) |3,GM-AEJ-GM-AEJA-GM-AEJ (Double Anhydro) |3",399276
654,7.85485,8.36572666666667,654,0.965924069102328,12,2;3,5,8.1523717186666,2236.97325643953,"2236.969,2236.969,2236.969","GM-AEJ-GM-AEJ-GM-AEJAA (Amidase Product) |3,GM-AEJ-GM-AEJA-GM-AEJA (Amidase Product) |3,GM-AEJA-GM-AEJA-GM-AEJ (Amidase Product) |3",330866
811,11.1342283333333,11.900695,811,0.974506662539321,13,3;2,5,11.7008083181368,2697.14879354891,"2697.1382,2697.1382,2697.1382","GM-AEJ-GM-AEJ-GM-AEJAA (Anhydro) |3,GM-AEJ-GM-AEJA-GM-AEJA (Anhydro) |3,GM-AEJA-GM-AEJA-GM-AEJ (Anhydro) |3",7120179
859,12.6506833333333,13.20727,859,0.987583790621319,6,3;2,5,13.061786156726,2677.11760458406,"2677.112,2677.112,2677.112","GM-AEJ-GM-AEJ-GM-AEJAA (Double Anhydro) |3,GM-AEJ-GM-AEJA-GM-AEJA (Double Anhydro) |3,GM-AEJA-GM-AEJA-GM-AEJ (Double Anhydro) |3",698550
713,9.09885,9.35289,713,0.961622973699366,4,3,5,9.21565580027516,2717.14098104891,"2717.1644,2717.1644,2717.1644","GM-AEJ-GM-AEJ-GM-AEJAA|3,GM-AEJ-GM-AEJA-GM-AEJA|3,GM-AEJA-GM-AEJA-GM-AEJ|3",108717
746,9.89901666666667,10.2625166666667,746,0.98116225017056,9,4;3;2,5,10.1468327322249,2717.16734823641,"2717.1644,2717.1644,2717.1644","GM-AEJ-GM-AEJ-GM-AEJAA|3,GM-AEJ-GM-AEJA-GM-AEJA|3,GM-AEJA-GM-AEJA-GM-AEJ|3",18105261
750,9.72501666666667,10.05237,750,0.970560545687619,8,2;3,5,9.89943537573031,2646.13231405672,"2646.1273,2646.1273","GM-AEJ-GM-AEJ-GM-AEJA|3,GM-AEJ-GM-AEJA-GM-AEJ|3",1566903
670,8.26051666666667,8.486515,670,0.983631909736823,8,2;3,5,8.31839856749274,2307.99986776766,"2308.0061,2308.0061","GM-AEJ-GM-AEJA-GM-AEJAA (Amidase Product) |3,GM-AEJA-GM-AEJA-GM-AEJA (Amidase Product) |3",4531902
822,11.3685166666667,11.900695,822,0.973426340694712,6,3;4;2,5,11.8334766878133,2768.17778524813,"2768.1753,2768.1753","GM-AEJ-GM-AEJA-GM-AEJAA (Anhydro) |3,GM-AEJA-GM-AEJA-GM-AEJA (Anhydro) |3",13587307
764,10.05237,10.2625166666667,764,0.994476303562942,3,3,5,10.1733012411219,2726.16862997469,"2726.1647,2726.1647","GM-AEJ-GM-AEJA-GM-AEJAA (Deacetyl-Anhydro) |3,GM-AEJA-GM-AEJA-GM-AEJA (Deacetyl-Anhydro) |3",112703
867,12.57635,13.20727,867,0.974915127503563,6,3;2,5,12.9867779749165,2748.1506246036,"2748.1491,2748.1491","GM-AEJ-GM-AEJA-GM-AEJAA (Double Anhydro) |3,GM-AEJA-GM-AEJA-GM-AEJA (Double Anhydro) |3",252569
779,10.3341883333333,10.3965283333333,779,0.977111596960184,6,2;3;4,5,10.3516790636043,2788.20091757235,"2788.2015,2788.2015","GM-AEJ-GM-AEJA-GM-AEJAA|3,GM-AEJA-GM-AEJA-GM-AEJA|3",46357248
734,9.16438833333333,9.55354,734,0.979920722631864,3,3,5,9.4227115064453,2788.20641073641,"2788.2015,2788.2015","GM-AEJ-GM-AEJA-GM-AEJAA|3,GM-AEJA-GM-AEJA-GM-AEJA|3",133278
680,8.17605333333333,8.36572666666667,680,0.993790475964175,7,2;3,3,8.2784547123223,1722.73434843365,1722.7304,GM-AEJ-GM-AEJ|2,32498184
864,12.1575166666667,12.6506833333333,864,0.995224297316738,3,2,3,12.4813277807625,1550.63901151959,1550.6456,GM-AEJ-GM-AE|2,60868
663,7.85485,8.17605333333333,663,0.997137094840826,3,2,3,8.01736266565145,1222.50973905865,1222.5084,GM-AEJ-JEA (Anhydro) |2,408970
548,5.57568166666667,6.83901666666667,548,0.999487523091792,8,2,3,5.82572262073267,1242.53488554302,"1242.5346,1242.535","GM-AEJ-JEA|2,GM-AEJ-GM-AEJ (Amidase Product) |2",2287262
722,9.23588,9.40518333333333,722,0.998825957881441,8,2;1,2,9.28369635138804,921.380601951199,921.3815,GM-AEJA (Anhydro) |1,126593168
592,6.593015,7.85485,592,0.998324403416271,12,2;1,3,7.32069263275453,921.382236617241,921.3815,GM-AEJA (Anhydro) |1,3889699
515,4.82117,5.37287666666667,515,0.998772609676104,6,2;1,3,4.8872617475788,899.396030562554,899.3972,GM-AEJA (Deacetyl) |1,1720570
606,7.00218166666667,7.35202666666667,606,0.997521758760291,4,2,3,7.04294406624233,1313.57638944927,"1313.5721,1313.5721","GM-AEJA-GM-AEJ (Amidase Product) |2,GM-AEJ-GM-AEJA (Amidase Product) |2",1013089
563,5.88184833333333,6.212355,563,0.997974779305764,10,2;3;1,3,6.13693857154403,1313.57236112896,"1313.5721,1313.5721","GM-AEJA-GM-AEJ (Amidase Product) |2,GM-AEJ-GM-AEJA (Amidase Product) |2",23027666
655,7.85485,7.96785,655,0.999072395667682,3,2;3,3,7.94738906678528,1792.78500761334,"1792.7835,1792.7835","GM-AEJA-GM-AEJ (Amidated) |2,GM-AEJ-GM-AEJA (Amidated) |2",137476
718,9.23588,9.40518333333333,718,0.980305653563208,3,2;3,4,9.37831950471446,1773.74501630282,"1773.7413,1773.7413","GM-AEJA-GM-AEJ (Anhydro) |2,GM-AEJ-GM-AEJA (Anhydro) |2",163563
781,10.5191833333333,11.562385,781,0.99025351325009,13,2;3,3,10.743916252478,1773.74155058209,"1773.7413,1773.7413","GM-AEJA-GM-AEJ (Anhydro) |2,GM-AEJ-GM-AEJA (Anhydro) |2",43593728
602,7.00218166666667,7.18936333333333,602,0.985122958177646,6,3;2,3,7.0904898569123,1751.7592507774,"1751.757,1751.757","GM-AEJA-GM-AEJ (Deacetyl) |2,GM-AEJ-GM-AEJA (Deacetyl) |2",976108
