Type,Mass,Parts
N-Terminal,203.0794,['GlcNAc']
C-Terminal,1571.6699,"['MurNAc_alditol', 'A', 'E', 'mDAP', 'GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'A']"
N-Terminal,480.1955,"['MurNAc_alditol', 'GlcNAc']"
C-Terminal,1294.5538,"['A', 'E', 'mDAP', 'GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'A']"
N-Terminal,551.2326,"['A', 'MurNAc_alditol', 'GlcNAc']"
C-Terminal,1223.5167,"['E', 'mDAP', 'GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'A']"
N-Terminal,680.2752,"['A', 'E', 'MurNAc_alditol', 'GlcNAc']"
C-Terminal,1094.4741,"['mDAP', 'GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'A']"
C-Terminal,851.3522,"['mDAP', 'A', 'GlcNAc', 'E', 'MurNAc_alditol']"
N-Terminal,923.3971,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'A']"
C-Terminal,1571.6699,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'A']"
C-Terminal,1294.5538,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'A', 'E', 'mDAP', 'A']"
N-Terminal,480.1955,"['MurNAc_alditol', 'GlcNAc']"
C-Terminal,1223.5167,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'E', 'mDAP', 'A']"
N-Terminal,551.2326,"['MurNAc_alditol', 'A', 'GlcNAc']"
C-Terminal,1094.4741,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'mDAP', 'A']"
N-Terminal,680.2752,"['MurNAc_alditol', 'A', 'GlcNAc', 'E']"
N-Terminal,1686.7095,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
C-Terminal,88.0398,['A']
Internal,277.1161,['MurNAc_alditol']
Internal,348.1532,"['A', 'MurNAc_alditol']"
Internal,477.1958,"['A', 'MurNAc_alditol', 'E']"
Internal,648.2728,"['A', 'mDAP', 'MurNAc_alditol', 'E']"
Internal,1368.5905,"['MurNAc_alditol', 'A', 'E', 'mDAP', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'A']"
Internal,1091.4744,"['MurNAc_alditol', 'A', 'E', 'mDAP', 'A', 'E', 'mDAP', 'A']"
Internal,1020.4373,"['MurNAc_alditol', 'A', 'E', 'mDAP', 'E', 'mDAP', 'A']"
Internal,891.3947,"['MurNAc_alditol', 'A', 'E', 'mDAP', 'mDAP', 'A']"
Internal,1483.6301,"['MurNAc_alditol', 'A', 'E', 'mDAP', 'GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
Internal,200.0797,"['A', 'E']"
Internal,371.1567,"['A', 'mDAP', 'E']"
Internal,1091.4744,"['A', 'E', 'mDAP', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'A']"
Internal,814.3583,"['A', 'E', 'mDAP', 'A', 'E', 'mDAP', 'A']"
Internal,743.3212,"['A', 'E', 'mDAP', 'E', 'mDAP', 'A']"
Internal,614.2786,"['A', 'E', 'mDAP', 'mDAP', 'A']"
Internal,1206.5140,"['A', 'E', 'mDAP', 'GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
Internal,129.0426,['E']
Internal,300.1196,"['mDAP', 'E']"
Internal,1020.4373,"['E', 'mDAP', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'A']"
Internal,743.3212,"['E', 'mDAP', 'A', 'E', 'mDAP', 'A']"
Internal,672.2841,"['E', 'mDAP', 'E', 'mDAP', 'A']"
Internal,543.2415,"['E', 'mDAP', 'mDAP', 'A']"
Internal,680.2752,"['GlcNAc', 'MurNAc_alditol', 'A', 'E']"
Internal,1135.4769,"['E', 'mDAP', 'GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
Internal,477.1958,"['A', 'E', 'MurNAc_alditol']"
Internal,171.0770,['mDAP']
Internal,891.3947,"['mDAP', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'A']"
Internal,614.2786,"['mDAP', 'A', 'E', 'mDAP', 'A']"
Internal,543.2415,"['mDAP', 'E', 'mDAP', 'A']"
Internal,414.1989,"['mDAP', 'mDAP', 'A']"
Internal,1006.4343,"['mDAP', 'GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
Internal,680.2752,"['A', 'GlcNAc', 'E', 'MurNAc_alditol']"
Internal,371.1567,"['mDAP', 'A', 'E']"
N-Terminal,551.2326,"['A', 'GlcNAc', 'MurNAc_alditol']"
Internal,648.2728,"['mDAP', 'A', 'E', 'MurNAc_alditol']"
Internal,720.3177,"['MurNAc_alditol', 'A', 'E', 'mDAP', 'A']"
Internal,443.2016,"['A', 'E', 'mDAP', 'A']"
N-Terminal,551.2326,"['GlcNAc', 'MurNAc_alditol', 'A']"
Internal,372.1645,"['E', 'mDAP', 'A']"
Internal,243.1219,"['mDAP', 'A']"
Internal,835.3573,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
C-Terminal,851.3522,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
Internal,348.1532,"['MurNAc_alditol', 'A']"
Internal,477.1958,"['MurNAc_alditol', 'A', 'E']"
Internal,1483.6301,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
Internal,443.2016,"['A', 'A', 'mDAP', 'E']"
Internal,200.0797,"['A', 'E']"
Internal,1206.5140,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'A', 'E', 'mDAP']"
N-Terminal,680.2752,"['GlcNAc', 'MurNAc_alditol', 'A', 'E']"
Internal,372.1645,"['mDAP', 'A', 'E']"
Internal,1135.4769,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'E', 'mDAP']"
Internal,1006.4343,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'mDAP']"
Internal,1280.5507,"['MurNAc_alditol', 'A', 'E', 'mDAP', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
Internal,648.2728,"['MurNAc_alditol', 'A', 'E', 'mDAP']"
Internal,1003.4346,"['MurNAc_alditol', 'A', 'E', 'mDAP', 'A', 'E', 'mDAP']"
Internal,932.3975,"['MurNAc_alditol', 'A', 'E', 'mDAP', 'E', 'mDAP']"
Internal,477.1958,"['MurNAc_alditol', 'A', 'E']"
Internal,414.1989,"['mDAP', 'mDAP', 'A']"
Internal,803.3549,"['MurNAc_alditol', 'A', 'E', 'mDAP', 'mDAP']"
Internal,1003.4346,"['A', 'E', 'mDAP', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
Internal,726.3185,"['A', 'E', 'mDAP', 'A', 'E', 'mDAP']"
Internal,371.1567,"['A', 'E', 'mDAP']"
Internal,655.2814,"['A', 'E', 'mDAP', 'E', 'mDAP']"
Internal,526.2388,"['A', 'E', 'mDAP', 'mDAP']"
Internal,932.3975,"['E', 'mDAP', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
Internal,655.2814,"['E', 'mDAP', 'A', 'E', 'mDAP']"
Internal,584.2443,"['E', 'mDAP', 'E', 'mDAP']"
Internal,300.1196,"['E', 'mDAP']"
Internal,455.2017,"['E', 'mDAP', 'mDAP']"
