Type,Mass,Parts
N-Terminal,203.0794,['GlcNAc']
C-Terminal,1571.6699,"['MurNAc_alditol', 'A', 'E', 'mDAP', 'A', 'GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
N-Terminal,480.1955,"['GlcNAc', 'MurNAc_alditol']"
C-Terminal,1294.5538,"['A', 'E', 'mDAP', 'A', 'GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
N-Terminal,551.2326,"['GlcNAc', 'A', 'MurNAc_alditol']"
C-Terminal,1223.5167,"['E', 'mDAP', 'A', 'GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
N-Terminal,680.2752,"['GlcNAc', 'E', 'A', 'MurNAc_alditol']"
C-Terminal,1094.4741,"['mDAP', 'A', 'GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
N-Terminal,1686.7095,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
C-Terminal,88.0398,['A']
C-Terminal,939.3920,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'A']"
N-Terminal,835.3573,"['A', 'GlcNAc', 'MurNAc_alditol', 'mDAP', 'E']"
C-Terminal,1571.6699,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'A', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
C-Terminal,1294.5538,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'A', 'A', 'E', 'mDAP']"
N-Terminal,480.1955,"['GlcNAc', 'MurNAc_alditol']"
C-Terminal,1223.5167,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'A', 'E', 'mDAP']"
N-Terminal,551.2326,"['A', 'GlcNAc', 'MurNAc_alditol']"
C-Terminal,1094.4741,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'A', 'mDAP']"
N-Terminal,680.2752,"['A', 'GlcNAc', 'E', 'MurNAc_alditol']"
Internal,277.1161,['MurNAc_alditol']
Internal,348.1532,"['A', 'MurNAc_alditol']"
Internal,477.1958,"['E', 'A', 'MurNAc_alditol']"
Internal,1483.6301,"['MurNAc_alditol', 'A', 'E', 'mDAP', 'GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
Internal,736.3126,"['MurNAc_alditol', 'A', 'E', 'mDAP', 'A']"
Internal,835.3573,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
Internal,1368.5905,"['MurNAc_alditol', 'A', 'E', 'mDAP', 'A', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
Internal,1091.4744,"['MurNAc_alditol', 'A', 'E', 'mDAP', 'A', 'A', 'E', 'mDAP']"
Internal,1020.4373,"['MurNAc_alditol', 'A', 'E', 'mDAP', 'A', 'E', 'mDAP']"
Internal,891.3947,"['MurNAc_alditol', 'A', 'E', 'mDAP', 'A', 'mDAP']"
Internal,200.0797,"['E', 'A']"
Internal,1206.5140,"['A', 'E', 'mDAP', 'GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
Internal,459.1965,"['E', 'A', 'A', 'mDAP']"
Internal,1091.4744,"['A', 'E', 'mDAP', 'A', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
Internal,814.3583,"['A', 'E', 'mDAP', 'A', 'A', 'E', 'mDAP']"
Internal,743.3212,"['A', 'E', 'mDAP', 'A', 'E', 'mDAP']"
Internal,614.2786,"['A', 'E', 'mDAP', 'A', 'mDAP']"
Internal,129.0426,['E']
Internal,1135.4769,"['E', 'mDAP', 'GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
Internal,388.1594,"['E', 'A', 'mDAP']"
Internal,1020.4373,"['E', 'mDAP', 'A', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
Internal,743.3212,"['E', 'mDAP', 'A', 'A', 'E', 'mDAP']"
Internal,672.2841,"['E', 'mDAP', 'A', 'E', 'mDAP']"
