Type,Mass,Parts
N-Terminal,203.0794,['GlcNAc']
C-Terminal,1574.6570,"['MurNAc_alditol', 'A', 'E', 'mDAP', 'G', 'GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
N-Terminal,480.1955,"['MurNAc_alditol', 'GlcNAc']"
C-Terminal,1297.5409,"['A', 'E', 'mDAP', 'G', 'GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
N-Terminal,551.2326,"['A', 'MurNAc_alditol', 'GlcNAc']"
C-Terminal,1226.5038,"['E', 'mDAP', 'G', 'GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
N-Terminal,680.2752,"['GlcNAc', 'E', 'MurNAc_alditol', 'A']"
C-Terminal,1097.4612,"['mDAP', 'G', 'GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
N-Terminal,851.3522,"['GlcNAc', 'mDAP', 'A', 'MurNAc_alditol', 'E']"
C-Terminal,926.3842,"['G', 'GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
C-Terminal,925.3764,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'G']"
N-Terminal,852.3600,"['GlcNAc', 'mDAP', 'A', 'MurNAc_alditol', 'E']"
C-Terminal,1574.6570,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'G', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
C-Terminal,1297.5409,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'G', 'A', 'E', 'mDAP']"
N-Terminal,480.1955,"['GlcNAc', 'MurNAc_alditol']"
C-Terminal,1226.5038,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'G', 'E', 'mDAP']"
N-Terminal,551.2326,"['GlcNAc', 'MurNAc_alditol', 'A']"
C-Terminal,1097.4612,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'G', 'mDAP']"
N-Terminal,680.2752,"['GlcNAc', 'E', 'MurNAc_alditol', 'A']"
Internal,277.1161,['MurNAc_alditol']
Internal,348.1532,"['A', 'MurNAc_alditol']"
Internal,477.1958,"['E', 'MurNAc_alditol', 'A']"
Internal,648.2728,"['E', 'MurNAc_alditol', 'A', 'mDAP']"
Internal,722.2970,"['MurNAc_alditol', 'A', 'E', 'mDAP', 'G']"
Internal,852.3600,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
Internal,1371.5776,"['MurNAc_alditol', 'A', 'E', 'mDAP', 'G', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
Internal,1094.4615,"['MurNAc_alditol', 'A', 'E', 'mDAP', 'G', 'A', 'E', 'mDAP']"
Internal,1023.4244,"['MurNAc_alditol', 'A', 'E', 'mDAP', 'G', 'E', 'mDAP']"
Internal,894.3818,"['MurNAc_alditol', 'A', 'E', 'mDAP', 'G', 'mDAP']"
Internal,71.0371,['A']
Internal,200.0797,"['E', 'A']"
Internal,371.1567,"['E', 'A', 'mDAP']"
Internal,445.1809,"['E', 'G', 'A', 'mDAP']"
Internal,1094.4615,"['A', 'E', 'mDAP', 'G', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
Internal,817.3454,"['A', 'E', 'mDAP', 'G', 'A', 'E', 'mDAP']"
Internal,746.3083,"['A', 'E', 'mDAP', 'G', 'E', 'mDAP']"
Internal,617.2657,"['A', 'E', 'mDAP', 'G', 'mDAP']"
Internal,129.0426,['E']
Internal,300.1196,"['E', 'mDAP']"
Internal,374.1438,"['E', 'G', 'mDAP']"
Internal,1023.4244,"['E', 'mDAP', 'G', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
Internal,746.3083,"['E', 'mDAP', 'G', 'A', 'E', 'mDAP']"
